movie_id,title,year,academy_award,won,run_time,budget,box_office,budget_currency,box_office_currency,starring
wings-1927,Wings,1927,1,yes,111,2,NA,USD,USD,
the-racket-1927,The Racket,1927,1,no,84,NA,NA,USD,USD,"Thomas Meighan, Marie Prevost, Louis Wolheim"
7th-heaven-1927,7th Heaven,1927,1,no,NA,NA,NA,USD,USD,
the-broadway-melody-1928,The Broadway Melody,1928,2,yes,100,0.379,4.4,USD,USD,
alibi-1928,Alibi,1928,2,no,90,NA,NA,USD,USD,"Chester Morris, Mae Busch"
hollywood-revue-1928,Hollywood Revue,1928,2,no,116,0.426,NA,USD,USD,
in-old-arizona-1928,In Old Arizona,1928,2,no,95,NA,1.3,USD,USD,
the-patriot-1928,The Patriot,1928,2,no,NA,NA,NA,USD,USD,
all-quiet-on-the-western-front-1929,All Quiet on the Western Front,1929,3,yes,152,1.2,1.5,USD,USD,
the-big-house-1929,The Big House,1929,3,no,87,0.414,NA,USD,USD,
disraeli-1929,Disraeli,1929,3,no,90,NA,NA,USD,USD,
the-divorcee-1929,The Divorcee,1929,3,no,84,NA,NA,USD,USD,
the-love-parade-1929,The Love Parade,1929,3,no,107,NA,NA,USD,USD,
cimarron-1930,Cimarron,1930,4,yes,124,1.433,1.383,USD,USD,
east-lynne-1930,East Lynne,1930,4,no,102,NA,NA,USD,USD,
the-front-page-1930,The Front Page,1930,4,no,101,NA,0.7,USD,USD,
skippy-1930,Skippy,1930,4,no,85,NA,NA,USD,USD,
trader-horn-1930,Trader Horn,1930,4,no,122,1.3,4.2,USD,USD,
grand-hotel-1931,Grand Hotel,1931,5,yes,112,0.75,2.25,USD,USD,
arrowsmith-1931,Arrowsmith,1931,5,no,108,NA,1.25,USD,USD,
bad-girl-1931,Bad Girl,1931,5,no,90,NA,1.1,USD,USD,
the-champ-1931,The Champ,1931,5,no,87,0.356,1.6,USD,USD,
five-star-final-1931,Five Star Final,1931,5,no,89,NA,NA,USD,USD,
one-hour-with-you-1931,One Hour with You,1931,5,no,80,NA,NA,USD,USD,
shanghai-express-1931,Shanghai Express,1931,5,no,80,NA,3.7,USD,USD,
the-smiling-lieutenant-1931,The Smiling Lieutenant,1931,5,no,89,NA,NA,USD,USD,
cavalcade-1932,Cavalcade,1932,6,yes,112,1.1803,3.5,USD,USD,
42nd-street-1932,42nd Street,1932,6,no,89,0.439,2.25,USD,USD,
a-farewell-to-arms-1932,A Farewell to Arms,1932,6,no,85,0.9,NA,USD,USD,"Helen Hayes, Gary Cooper, Adolphe Menjou"
