Year,USDperGBP
1927,4.86 
1928,4.87 
1929,4.86 
1930,4.86 
1931,4.54 
1932,3.51 
1933,4.24 
1934,5.04 
1935,4.90 
1936,4.97 
1937,4.94 
1938,4.89 
1939,4.44 
1940,3.83 
1941,4.03 
1942,4.04 
1943,4.04 
1944,4.04 
1945,4.03 
1946,4.03 
1947,4.03 
1948,4.03 
1949,3.69 
1950,2.80 
1951,2.80 
1952,2.79 
1953,2.81 
1954,2.81 
1955,2.79 
1956,2.80 
1957,2.79 
1958,2.81 
1959,2.81 
1960,2.81 
1961,2.80 
1962,2.81 
1963,2.80 
1964,2.79 
1965,2.80 
1966,2.79 
1967,2.75 
1968,2.39 
1969,2.39 
1970,2.40 
1971,2.44 
1972,2.50 
1973,2.45 
1974,2.34 
1975,2.22 
1976,1.80 
1977,1.74 
1978,1.92 
1979,2.12 
1980,2.33 
1981,2.02 
1982,1.75 
1983,1.52 
1984,1.34 
1985,1.30 
1986,1.47 
1987,1.64 
1988,1.78 
1989,1.64 
1990,1.78 
1991,1.77 
1992,1.77 
1993,1.50 
1994,1.53 
1995,1.58 
1996,1.56 
1997,1.64 
1998,1.66 
1999,1.62 
2000,1.52 
2001,1.44 
2002,1.50 
2003,1.63 
2004,1.83 
2005,1.82 
2006,1.84 
2007,2.00 
2008,1.85 
2009,1.57 
2010,1.55 
2011,1.60 
2012,1.59 
2013,1.56 
2014,1.65 
2015,1.53 
2016,1.35 
2017,1.29 
